G27,G65
G24,G96
G24,G58
G25,G33
G22,G50
G22,G14
G23,G40
G23,G97
G23,G71
G23,G29
G20,G62
G20,G30
G21,G70
G28,G17
G28,G56
G29,G84
G29,G28
G29,G21
G7,G84
G7,G97
G7,G68
G7,G91
G4,G23
G4,G2
G4,G19
G4,G29
G3,G7
G3,G1
G3,G83
G3,G71
G3,G54
G3,G16
G2,G9
G1,G85
G1,G5
G1,G4
G1,G95
G1,G8
G51,G53
G51,G26
G51,G39
G51,G67
G50,G41
G57,G52
G57,G36
G57,G21
G56,G87
G56,G76
G55,G59
G55,G25
G55,G57
G58,G34
G40,G53
G40,G27
G40,G51
G41,G25
G42,G44
G43,G90
G43,G45
G43,G46
G43,G47
G44,G93
G44,G73
G44,G47
G45,G100
G45,G30
G45,G23
G45,G68
G45,G50
G45,G90
G45,G94
G46,G75
G46,G63
G46,G20
G47,G66
G48,G6
G48,G87
G49,G40
G49,G85
G75,G61
G76,G16
G71,G89
G73,G74
G73,G18
G72,G86
G79,G80
G78,G27
G78,G82
G68,G11
G68,G56
G68,G55
G63,G2
G60,G100
G60,G81
G60,G55
G61,G54
G66,G62
G66,G71
G66,G34
G67,G36
G64,G51
G100,G35
G100,G37
G19,G59
G19,G76
G19,G82
G18,G7
G18,G99
G15,G39
G15,G22
G15,G88
G15,G55
G15,G20
G14,G49
G14,G24
G14,G32
G14,G10
G14,G72
G13,G19
G12,G41
G12,G66
G97,G61
G97,G94
G97,G57
G97,G98
G97,G10
G96,G5
G96,G3
G96,G36
G96,G70
G96,G83
G96,G58
G95,G64
G94,G75
G94,G49
G94,G13
G94,G78
G94,G63
G92,G21
G92,G87
G92,G75
G92,G96
G92,G43
G92,G72
G92,G15
G90,G17
G90,G88
G90,G91
G99,G33
G99,G32
G99,G92
G99,G83
G99,G14
G99,G13
G31,G96
G31,G69
G31,G23
G33,G40
G33,G94
G33,G11
G33,G78
G32,G31
G32,G64
G35,G59
G35,G57
G34,G52
G34,G50
G34,G1
G34,G29
G37,G3
G37,G90
G38,G24
G38,G4
G38,G66
G38,G9
G38,G42
G38,G43
G38,G45
G38,G73
G38,G48
G38,G60
G38,G79
G38,G15
G84,G69
G85,G89
G86,G31
G86,G60
G86,G12
G87,G88
G80,G92
G80,G61
G80,G12
G80,G99
G80,G78
G81,G34
G82,G95
G82,G46
G83,G25
G83,G8
G88,G97
G88,G67
